author,date,href,push,title
godofsex, 4/21,/bbs/movie/M.1650484510.A.80D.html,15,[新聞] 閃電俠一個月內2度進警局 拿椅子砸傷人
AmaiNeko, 4/21,/bbs/movie/M.1650502500.A.CDE.html,18,[問片] 請問班·艾佛列克這一幕是哪部電影？
blessbless, 4/21,/bbs/movie/M.1650504454.A.EF2.html,39,[討論] 奧斯卡暖心時刻居然是營造出來的？
sunsirr, 4/21,/bbs/movie/M.1650507855.A.A9E.html,7,[討論] 索尼「蜘蛛人」系列宇宙檔期延後
painkiller, 4/21,/bbs/movie/M.1650517254.A.012.html,17,[好雷] 媽的多重宇宙 餘韻與一些想法
shen0348, 4/21,/bbs/movie/M.1650518071.A.DC3.html,13,[新聞] 小班新作聚焦Nike簽約喬丹歷程 麥特戴蒙
fairylike02, 4/21,/bbs/movie/M.1650518554.A.C1B.html,99,[討論] 大家都喜歡魔戒裡面的誰？
irawdlyob4, 4/21,/bbs/movie/M.1650525440.A.30B.html,10,[討論] 那些年你看過的雞肋電影？
magicwing, 4/21,/bbs/movie/M.1650526609.A.483.html,4,[好無雷] 印度片:星期四 
johan0727, 4/21,/bbs/movie/M.1650527019.A.73D.html,11,[新聞] 《無家日》幕後製作曝光 這兩演員其實沒參與演出
kuninaka, 4/21,/bbs/movie/M.1650527077.A.70F.html,15,[討論] 觸電網頻道已經復權，我也順手檢舉了
johan0727, 4/21,/bbs/movie/M.1650532116.A.79B.html,63,[新聞] 玩命關頭10正式開拍！馮迪索公開海報與英文片名
Lovatte, 4/21,/bbs/movie/M.1650539290.A.B27.html,1,[好雷] 看到片中爭家產的感觸 洞裡的月亮
surenas, 4/20,/bbs/movie/M.1650436756.A.956.html,9,[問片] 問一部打電動打到變成真的電影
he41p2, 4/20,/bbs/movie/M.1650438566.A.F21.html,5,[討論] 4/20 奇異博士2新預告 其中一幕
s7503228, 4/20,/bbs/movie/M.1650439545.A.C2C.html,36,[討論] 柯林法洛 企鵝人上妝過程
usenwo, 4/20,/bbs/movie/M.1650439681.A.DEC.html,36,[情報] 第24屆台北電影節 主視覺公布
godshibainu, 4/20,/bbs/movie/M.1650440647.A.695.html,20,Re: [新聞] 車庫娛樂正式提告侵權 觸電網反咬破壞市場
johan0727, 4/20,/bbs/movie/M.1650442043.A.A56.html,63,[新聞] 克里斯洛克：在我拿到報酬之前，我不會討論被威爾史密斯打
lgng66133, 4/20,/bbs/movie/M.1650442469.A.5A7.html,1,[公告] 水桶
hamasakiayu, 4/20,/bbs/movie/M.1650444497.A.EE7.html,24,Re: [新聞] 剛放棄實拍!魏德聖三部曲員工離職 開40k
gaiaesque, 4/20,/bbs/movie/M.1650445533.A.CB1.html,35,[好雷] 速成家庭
qpr322, 4/20,/bbs/movie/M.1650450894.A.F17.html,6,[情報] 2022 坎城影展 國際影評人週 片單公開！
kkaicd1, 4/20,/bbs/movie/M.1650456472.A.C92.html,2,[新聞] 越南影后拍【越驚】，上工初日好「孕」到
jej, 4/20,/bbs/movie/M.1650463330.A.3F4.html,73,[討論] 大家喜歡蜘蛛人的哪個MJ
mikamitomoya, 4/20,/bbs/movie/M.1650467141.A.86A.html,23,[討論] 索爾的預告是不是在致敬阿甘?
HareGun, 4/20,/bbs/movie/M.1650468771.A.1F3.html,21,[負雷] 蝙蝠俠2022
JUNU, 4/20,/bbs/movie/M.1650468952.A.5BA.html,9,[好無雷] 媽的多重宇宙也太爽太好看了 
godofsex, 4/21,/bbs/movie/M.1650471030.A.515.html,63,[新聞] 強尼戴普保鑣 護士：安珀赫德常引爭端
takuminauki, 4/19,/bbs/movie/M.1650373819.A.507.html,4,[討論] 大家是沒看過是枝的法國片真實嗎?
Spade, 4/19,/bbs/movie/M.1650373902.A.348.html,4,[開箱] 蜘蛛人-無家日 4K 鐵盒開箱
godofsex, 4/19,/bbs/movie/M.1650376598.A.55A.html,15,[情報] 《牛首村》預告日本恐怖村莊系列第三彈
LimYoungMin, 4/19,/bbs/movie/M.1650377956.A.602.html,27,[討論] 紐特的行李箱（有怪獸3雷）
monomono, 4/19,/bbs/movie/M.1650379513.A.CE7.html,11,[微好無雷]詭扯
lovehappys8, 4/19,/bbs/movie/M.1650381245.A.5DC.html,15,[好雷]花束般的戀愛
Gotham, 4/19,/bbs/movie/M.1650382859.A.1AA.html,13,[新聞] 《教父》艾爾帕西諾又傳爺孫戀　交往小53
Gotham, 4/19,/bbs/movie/M.1650382992.A.BD7.html,8,[新聞] 《捍衛戰士：獨行俠》阿湯哥為全體演員設
qpr322, 4/19,/bbs/movie/M.1650383658.A.CA1.html,5,[情報] 2022 坎城影展 導演雙週 片單公布！
kenny1300175, 4/20,/bbs/movie/M.1650384277.A.C39.html,91,[新聞] 車庫娛樂正式提告侵權 觸電網反咬破壞市場
godofsex, 4/20,/bbs/movie/M.1650384571.A.FBA.html,19,[新聞] 身家73億鳳凰女正職家管 自曝23年沒接
lgng66133, 4/20,/bbs/movie/M.1650390921.A.FBA.html,2,[情報] 2022 坎城影展 主視覺公布
godofsex, 4/20,/bbs/movie/M.1650401796.A.3C3.html,34,[新聞]  堅決否認爛片王！凱吉近期最愛8部電影
sherlockedxx, 4/20,/bbs/movie/M.1650408826.A.4FA.html,69,[新聞] Ezra Miller再次被捕
victorliou, 4/20,/bbs/movie/M.1650422822.A.4FD.html,52,Re: [討論] 張國榮在台灣紅過嗎？
Avengers, 4/20,/bbs/movie/M.1650427682.A.F89.html,10,Re: [情報] 《奇異博士2》釋出數張海報+全新預告
dagoma, 4/20,/bbs/movie/M.1650430732.A.0A6.html,5,[討論] 兩根槍桿是不是有兩種不同版本？
VictorC, 4/19,/bbs/movie/M.1650340881.A.B95.html,61,[討論] 華納真的不考慮把大衛葉慈換掉嗎？
kenny1300175, 4/19,/bbs/movie/M.1650340969.A.D06.html,26,[新聞] 再扮魁剛金？連恩尼遜很樂意回鍋星際大戰
kenny1300175, 4/19,/bbs/movie/M.1650342666.A.F2E.html,33,[新聞]《奇異博士2》5月上映 該補哪些漫威影集?
mashmabo, 4/19,/bbs/movie/M.1650344372.A.03D.html,36,[新聞] 《28天毀滅倒數》到底算不算是「殭屍片」 
aiya28, 4/19,/bbs/movie/M.1650348466.A.73F.html,13,[討論] 看完咒有點後遺症
teramars, 4/19,/bbs/movie/M.1650349787.A.B27.html,16,[閒聊] 有人也很期待本週即將上映的兩部電影嗎
shengchiu303, 4/19,/bbs/movie/M.1650350750.A.2E9.html,25,Re: [討論] 華納真的不考慮把大衛葉慈換掉嗎？
ktou545, 4/19,/bbs/movie/M.1650350753.A.E99.html,1,[情報] 牛奶配送員的魔幻人生/斬、 iTunes特價中
chirex, 4/19,/bbs/movie/M.1650351848.A.4E0.html,66,Re: [新聞]《奇異博士2》5月上映 該補哪些漫威影集?
n0venblue, 4/19,/bbs/movie/M.1650352267.A.543.html,12,Re: [討論] 捍衛戰士：獨行俠 幕後花絮: 訓練篇
labell, 4/19,/bbs/movie/M.1650354694.A.C1A.html,20,[請益] 怪獸3vs音速小子2
YoshiTilde, 4/19,/bbs/movie/M.1650355120.A.83D.html,24,[情報] 《怒之鐵拳》將改編為電影
tingbsys, 4/19,/bbs/movie/M.1650359805.A.410.html,19,[請益] 關於臺灣茶業
qpr322, 4/19,/bbs/movie/M.1650360458.A.6E5.html,32,[情報] 宋康昊主演、是枝裕和執導韓國新片《Broker》預告公開！
breakingdown, 4/19,/bbs/movie/M.1650362270.A.70B.html,1,[負無雷] 你的情歌 
lgng66133, 4/19,/bbs/movie/M.1650371363.A.7BB.html,20,[情報] 《花樣年華》4K修復版 9/16定檔
